item,brand,category,gender,time_of_delivery_days,price,size,color,style,warmth,waterproof,current_day,url,image
MENS TITAN JACKET,Spyder,jacket,Men,6,500,L,Blue,Insulated,4,4,2/7/26,https://www.spyder.com/products/mens-titan-jacket-slate-blue,product_images/spyder_jacket_mens_titan_jacket_blue.jpg
MENS TITAN JACKET,Spyder,jacket,Men,6,500,XL,Blue,Insulated,4,4,2/7/26,https://www.spyder.com/products/mens-titan-jacket-slate-blue,product_images/spyder_jacket_mens_titan_jacket_blue.jpg
MENS TITAN JACKET,Spyder,jacket,Men,6,500,XXL,Blue,Insulated,4,4,2/7/26,https://www.spyder.com/products/mens-titan-jacket-slate-blue,product_images/spyder_jacket_mens_titan_jacket_blue.jpg
Men’s Montana Ski Gloves,The North Face,gloves,Men,5,65,S,Grey,Insulated,4,4,2/7/26,https://www.thenorthface.com/en-us/p/shop-all/snow-347788/mens-montana-ski-gloves-NF0A89QG?color=DYY,product_images/the_north_face_gloves_mens_montana_ski_gloves_grey.jpg
Men’s Montana Ski Gloves,The North Face,gloves,Men,5,65,M,Grey,Insulated,4,4,2/7/26,https://www.thenorthface.com/en-us/p/shop-all/snow-347788/mens-montana-ski-gloves-NF0A89QG?color=DYY,product_images/the_north_face_gloves_mens_montana_ski_gloves_grey.jpg
Men’s Montana Ski Gloves,The North Face,gloves,Men,5,65,L,Grey,Insulated,4,4,2/7/26,https://www.thenorthface.com/en-us/p/shop-all/snow-347788/mens-montana-ski-gloves-NF0A89QG?color=DYY,product_images/the_north_face_gloves_mens_montana_ski_gloves_grey.jpg
Men’s Montana Ski Gloves,The North Face,gloves,Men,5,65,XL,Grey,Insulated,4,4,2/7/26,https://www.thenorthface.com/en-us/p/shop-all/snow-347788/mens-montana-ski-gloves-NF0A89QG?color=DYY,product_images/the_north_face_gloves_mens_montana_ski_gloves_grey.jpg
Men’s Montana Ski Gloves,The North Face,gloves,Men,5,65,XXL,Grey,Insulated,4,4,2/7/26,https://www.thenorthface.com/en-us/p/shop-all/snow-347788/mens-montana-ski-gloves-NF0A89QG?color=DYY,product_images/the_north_face_gloves_mens_montana_ski_gloves_grey.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,S,Blue,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_blue.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,M,Blue,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_blue.jpg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,L,Blue,Insulated,4,4,2/7/26,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_gloves_men_s_burton_gore_tex_mittens_blue.jpg
