item,brand,category,time_of_delivery_days,price,size,color,style,current_day,image
Aurora Ski Jacket,IceForge,Jacket,6,299.50,XS,white,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+white+XS+Insulated
Aurora Ski Jacket,IceForge,Jacket,6,299.50,XS,white,Shell,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+white+XS+Shell
Aurora Ski Jacket,IceForge,Jacket,6,299.50,S,white,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+white+S+Insulated
Aurora Ski Jacket,IceForge,Jacket,6,299.50,S,white,Shell,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+white+S+Shell
Aurora Ski Jacket,IceForge,Jacket,6,299.50,M,white,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+white+M+Insulated
Aurora Ski Jacket,IceForge,Jacket,6,299.50,M,white,Shell,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+white+M+Shell
Aurora Ski Jacket,IceForge,Jacket,6,299.50,L,white,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+white+L+Insulated
Aurora Ski Jacket,IceForge,Jacket,6,299.50,L,white,Shell,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+white+L+Shell
Aurora Ski Jacket,IceForge,Jacket,6,299.50,XL,white,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+white+XL+Insulated
Aurora Ski Jacket,IceForge,Jacket,6,299.50,XL,white,Shell,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+white+XL+Shell
Aurora Ski Jacket,IceForge,Jacket,6,299.50,XS,red,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+red+XS+Insulated
Aurora Ski Jacket,IceForge,Jacket,6,299.50,XS,red,Shell,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+red+XS+Shell
Aurora Ski Jacket,IceForge,Jacket,6,299.50,S,red,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+red+S+Insulated
Aurora Ski Jacket,IceForge,Jacket,6,299.50,S,red,Shell,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+red+S+Shell
Aurora Ski Jacket,IceForge,Jacket,6,299.50,M,red,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+red+M+Insulated
Aurora Ski Jacket,IceForge,Jacket,6,299.50,M,red,Shell,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+red+M+Shell
Aurora Ski Jacket,IceForge,Jacket,6,299.50,L,red,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+red+L+Insulated
Aurora Ski Jacket,IceForge,Jacket,6,299.50,L,red,Shell,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+red+L+Shell
Aurora Ski Jacket,IceForge,Jacket,6,299.50,XL,red,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+red+XL+Insulated
Aurora Ski Jacket,IceForge,Jacket,6,299.50,XL,red,Shell,2026-02-07,https://via.placeholder.com/400x400?text=IceForge+Aurora+Ski+Jacket+red+XL+Shell
