item,brand,category,gender,time_of_delivery_days,price,size,color,style,warmth,waterproof,current_day,url,image
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,S,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_forage_canvas.jpeg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,M,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_forage_canvas.jpeg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,L,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_forage_canvas.jpeg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,XL,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_forage_canvas.jpeg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,XS,Black,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_black.jpeg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,S,Black,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_black.jpeg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,M,Black,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_black.jpeg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,L,Black,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_black.jpeg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,XL,Black,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_black.jpeg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120.0,XXL,Black,Baselayer,3,0,2026-02-07,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arcteryx_rho_lt_bottom_men_s_black.jpeg
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,S,Blue,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_jake_blue.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,M,Blue,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_jake_blue.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,L,Blue,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_jake_blue.png
Men's Burton GORE-TEX Mittens,Burton,gloves,Men,6,84.95,XL,Blue,Insulated,4,4,2026-02-07,https://www.burton.com/us/en/p/mens-burton-gore-tex-mittens/W26-103841.html?dwvar_W26-103841_variationColor=AH2,product_images/burton_jake_blue.png
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,S,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_copper_sky_canvas.jpeg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,M,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_copper_sky_canvas.jpeg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,L,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_copper_sky_canvas.jpeg
FISSION SV GLOVE,Arc'teryx,gloves,Men,5,200.0,XL,Beige,Insulated,4,4,2026-02-07,https://arcteryx.com/us/en/shop/fission-sv-glove-9939,product_images/arcteryx_fission_sv_glove_copper_sky_canvas.jpeg
Men’s McMurdo Parka,The North Face,jacket,Men,5,400.0,XS,Grey,Down Insulated,5,3,2026-02-07,https://www.thenorthface.com/en-us/p/mens/mens-jackets-and-vests/mens-parkas-300775/mens-mcmurdo-parka-NF0A5GJF?color=BOX,product_images/north_face_mens_mcmurdo_parkamushroom_grey.png
Men’s McMurdo Parka,The North Face,jacket,Men,5,400.0,S,Grey,Down Insulated,5,3,2026-02-07,https://www.thenorthface.com/en-us/p/mens/mens-jackets-and-vests/mens-parkas-300775/mens-mcmurdo-parka-NF0A5GJF?color=BOX,product_images/north_face_mens_mcmurdo_parkamushroom_grey.png
Men’s McMurdo Parka,The North Face,jacket,Men,5,400.0,M,Grey,Down Insulated,5,3,2026-02-07,https://www.thenorthface.com/en-us/p/mens/mens-jackets-and-vests/mens-parkas-300775/mens-mcmurdo-parka-NF0A5GJF?color=BOX,product_images/north_face_mens_mcmurdo_parkamushroom_grey.png
Men’s McMurdo Parka,The North Face,jacket,Men,5,400.0,L,Grey,Down Insulated,5,3,2026-02-07,https://www.thenorthface.com/en-us/p/mens/mens-jackets-and-vests/mens-parkas-300775/mens-mcmurdo-parka-NF0A5GJF?color=BOX,product_images/north_face_mens_mcmurdo_parkamushroom_grey.png
Men’s McMurdo Parka,The North Face,jacket,Men,5,400.0,XL,Grey,Down Insulated,5,3,2026-02-07,https://www.thenorthface.com/en-us/p/mens/mens-jackets-and-vests/mens-parkas-300775/mens-mcmurdo-parka-NF0A5GJF?color=BOX,product_images/north_face_mens_mcmurdo_parkamushroom_grey.png
Men’s McMurdo Parka,The North Face,jacket,Men,5,400.0,XXL,Grey,Down Insulated,5,3,2026-02-07,https://www.thenorthface.com/en-us/p/mens/mens-jackets-and-vests/mens-parkas-300775/mens-mcmurdo-parka-NF0A5GJF?color=BOX,product_images/north_face_mens_mcmurdo_parkamushroom_grey.png
