item,brand,category,time_of_delivery_days,price,size,color,style,current_day,image
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,XS,yellow,Shell,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,XS,yellow,Insulated,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,S,yellow,Shell,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,S,yellow,Insulated,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,M,yellow,Shell,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,M,yellow,Insulated,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,L,yellow,Shell,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,L,yellow,Insulated,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,XL,yellow,Shell,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,XL,yellow,Insulated,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,XS,blue,Shell,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,XS,blue,Insulated,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,S,blue,Shell,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,S,blue,Insulated,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,M,blue,Shell,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,M,blue,Insulated,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,L,blue,Shell,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,L,blue,Insulated,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,XL,blue,Shell,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,XL,blue,Insulated,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,XS,green,Shell,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,XS,green,Insulated,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,S,green,Shell,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,S,green,Insulated,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,M,green,Shell,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,M,green,Insulated,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,L,green,Shell,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,L,green,Insulated,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,XL,green,Shell,2026-02-07,
AeroLite Ski Jacket,SnowPulse,Jacket,5,249.00,XL,green,Insulated,2026-02-07,
SummitArc Ski Jacket,AlpinePro,Jacket,4,269.00,XS,red,Insulated,2026-02-07,
SummitArc Ski Jacket,AlpinePro,Jacket,4,269.00,XS,red,Shell,2026-02-07,
SummitArc Ski Jacket,AlpinePro,Jacket,4,269.00,S,red,Insulated,2026-02-07,
SummitArc Ski Jacket,AlpinePro,Jacket,4,269.00,S,red,Shell,2026-02-07,
SummitArc Ski Jacket,AlpinePro,Jacket,4,269.00,M,red,Insulated,2026-02-07,
