item,brand,category,gender,time_of_delivery_days,price,size,color,style,warmth,waterproof,current_day,url,image
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,XS,Black,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_black.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,S,Black,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_black.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,M,Black,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_black.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,L,Black,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_black.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,XL,Black,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_black.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,XXL,Black,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_black.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,XXXL,Black,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_black.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,XS,Blue,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_blue.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,S,Blue,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_blue.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,M,Blue,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_blue.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,L,Blue,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_blue.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,XL,Blue,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_blue.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,XXL,Blue,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_blue.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,XXXL,Blue,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_blue.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,XS,White,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_white.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,S,White,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_white.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,M,White,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_white.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,L,White,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_white.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,XL,White,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_white.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,XXL,White,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_white.jpg
BETA AR JACKET MEN'S,Arc'teryx,jacket,Men,5,650,XXXL,White,Shell,2,5,2/7/26,https://arcteryx.com/us/en/shop/mens/beta-ar-jacket-9906,product_images/arc_teryx_jacket_beta_ar_jacket_men_s_white.jpg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,XS,Black,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_black.jpg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,S,Black,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_black.jpg
RHO LT BOTTOM MEN'S,Arc'teryx,base_bottom,Men,5,120,M,Black,Baselayer,3,0,2/7/26,https://arcteryx.com/us/en/shop/mens/rho-lt-bottom-0037,product_images/arc_teryx_base_bottom_rho_lt_bottom_men_s_black.jpg
