item,brand,category,time_of_delivery_days,price,size,color,style,current_day,image
StormShield Ski Jacket,NorthPeak,Jacket,4,279.99,XS,red,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=NorthPeak+StormShield+Ski+Jacket+red+XS+Insulated
StormShield Ski Jacket,NorthPeak,Jacket,4,279.99,XS,red,Shell,2026-02-07,https://via.placeholder.com/400x400?text=NorthPeak+StormShield+Ski+Jacket+red+XS+Shell
StormShield Ski Jacket,NorthPeak,Jacket,4,279.99,S,red,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=NorthPeak+StormShield+Ski+Jacket+red+S+Insulated
StormShield Ski Jacket,NorthPeak,Jacket,4,279.99,S,red,Shell,2026-02-07,https://via.placeholder.com/400x400?text=NorthPeak+StormShield+Ski+Jacket+red+S+Shell
StormShield Ski Jacket,NorthPeak,Jacket,4,279.99,M,red,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=NorthPeak+StormShield+Ski+Jacket+red+M+Insulated
StormShield Ski Jacket,NorthPeak,Jacket,4,279.99,M,red,Shell,2026-02-07,https://via.placeholder.com/400x400?text=NorthPeak+StormShield+Ski+Jacket+red+M+Shell
StormShield Ski Jacket,NorthPeak,Jacket,4,279.99,L,red,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=NorthPeak+StormShield+Ski+Jacket+red+L+Insulated
StormShield Ski Jacket,NorthPeak,Jacket,4,279.99,L,red,Shell,2026-02-07,https://via.placeholder.com/400x400?text=NorthPeak+StormShield+Ski+Jacket+red+L+Shell
StormShield Ski Jacket,NorthPeak,Jacket,4,279.99,XL,red,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=NorthPeak+StormShield+Ski+Jacket+red+XL+Insulated
StormShield Ski Jacket,NorthPeak,Jacket,4,279.99,XL,red,Shell,2026-02-07,https://via.placeholder.com/400x400?text=NorthPeak+StormShield+Ski+Jacket+red+XL+Shell
StormShield Ski Jacket,NorthPeak,Jacket,4,279.99,XS,black,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=NorthPeak+StormShield+Ski+Jacket+black+XS+Insulated
StormShield Ski Jacket,NorthPeak,Jacket,4,279.99,XS,black,Shell,2026-02-07,https://via.placeholder.com/400x400?text=NorthPeak+StormShield+Ski+Jacket+black+XS+Shell
StormShield Ski Jacket,NorthPeak,Jacket,4,279.99,S,black,Insulated,2026-02-07,https://via.placeholder.com/400x400?text=NorthPeak+StormShield+Ski+Jacket+black+S+Insulated
StormShield Ski Jacket,NorthPeak,Jacket,4,279.99,S,black,Shell,2026-02-07,https://via.placeholder.com/400x400?text=NorthPeak+StormShield+Ski+Jacket+black+S+Shell
